Day,Prices(S_n),A_n,Total_Stocks,Total_Spent,actions,density,Probabilité action,payoff,verifTotalStock,VerifTotalSpent
47,103.08541761999686,101.59572905623445,-1.261228180231822,-43.644007838054534,-4.162791527025817,tensor([1.3445]),0.25286874175071716,-186.08473756480726,-1.2612281802318255,-43.644007838054534
48,102.96592934797785,101.62427489564575,-5.424019707257639,-472.26970610015564,-9.239184606201379,tensor([0.7921]),0.10673317313194275,-186.08473756480726,-5.424019707257643,-472.26970610015564
49,102.87664928133907,101.64983355657829,-14.663204313459016,-1422.7660604778816,11.002548699562627,tensor([1.1351]),0.823383092880249,-186.08473756480726,-14.66320431345902,-1422.7660604778816
50,102.81005121143352,101.67303790967539,-3.66065561389639,-291.5934652195567,-6.2911335913106035,tensor([1.1380]),0.17743661999702454,-186.08473756480726,-3.660655613896394,-291.5934652195567
51,102.97423617291922,101.69855160111155,-9.951789205206993,-939.4181414465604,-1.2298006961354346,tensor([1.5015]),0.3597192168235779,-186.08473756480726,-9.951789205206998,-939.4181414465603
52,102.92735724916564,101.72218247895874,-11.181589901342427,-1065.9982770429647,10.751451678173652,tensor([1.1355]),0.823260486125946,-186.08473756480726,-11.181589901342432,-1065.9982770429647
53,103.1760393471966,101.74961374062362,-0.43013822316877537,43.2939243437629,-10.254791062031737,tensor([0.5508]),0.07709395885467529,-186.08473756480726,-0.43013822316878036,43.29392434376291
54,103.1473347053333,101.7754974621923,-10.684929285200512,-1014.4604416648849,11.01225822697674,tensor([1.1122]),0.8296098709106445,-186.08473756480726,-10.684929285200518,-1014.4604416648849
55,103.07260432386667,101.79908122331366,0.3273289417762282,120.6016932765342,1.0504130487744607,tensor([1.5629]),0.46881163120269775,-186.08473756480726,0.3273289417762232,120.6016932765342
56,102.78805663936883,101.81674149860034,1.377741990550689,228.5716092286956,0.12736113379958527,tensor([1.5483]),0.42550134658813477,-186.08473756480726,1.377741990550684,228.5716092286956
57,102.63489673490209,101.83109509923722,1.5051031243502742,241.6433060442561,3.3344899291859527,tensor([1.5460]),0.5792761445045471,-186.08473756480726,1.5051031243502693,241.64330604425606
58,102.48679622579174,101.84240029107437,4.839593053536227,583.3844959336915,19.40096033939888,tensor([-0.9651]),0.9877732992172241,-186.08473756480726,4.8395930535362215,583.3844959336915
59,102.80686528996551,101.85874715546235,24.240553392935105,2577.9364120422356,-5.316512264986365,tensor([1.0933]),0.1654578447341919,-186.08473756480726,24.2405533929351,2577.9364120422356
